65,2,66
25,58,50
62,16,65
71,14,20
16,2,90
68,43,28
51,77,47
46,94,31
3,25,30
2,62,25
2,59,59
14,92,70
34,74,12
88,4,28
12,10,69
28,4,7
28,64,6
51,95,87
26,12,54
3,12,55
96,36,35
77,81,67
30,5,50
100,75,18
7,29,6
21,93,13
6,47,8
16,3,11
3,77,80
52,66,77
36,61,93
29,3,34
98,65,89
30,37,81
80,26,26
62,53,27
52,56,57
60,28,77
92,49,60
85,85,77
89,47,5
35,22,64
9,75,27
72,28,26
83,34,13
85,32,16
6,62,56
98,79,13
89,87,17
13,41,58
25,30,50
96,75,40
44,80,31
75,54,62
92,37,89
49,91,33
1,94,42
22,45,53
5,44,79
94,30,39
14,95,46
1,58,14
24,6,32
56,31,46
64,23,74
73,28,78
91,96,28
55,80,51
36,54,29
96,17,26
61,84,90
101,67,51
88,61,38
15,24,89
38,9,58
14,80,13
48,66,54
78,61,64
35,25,76
87,39,5
100,62,71
28,48,51
35,58,15
40,95,98
15,48,43
66,51,62
32,86,79
53,71,14
51,26,58
92,92,28
52,49,37
57,101,28
48,37,57
39,72,53
27,40,73
5,22,4
89,68,59
95,61,13
93,72,44
31,74,4
81,35,96
60,78,5
41,45,42
11,35,29
78,93,71
28,32,71
76,92,99
9,18,11
32,50,10
80,98,49
47,20,62
49,89,69
47,98,29
25,39,13
21,36,3
77,12,97
15,46,57
23,99,80
59,23,71
31,66,11
37,65,53
43,73,30
82,85,15
2,26,93
39,71,57
37,87,36
69,1,7
26,39,72
80,90,6
27,29,36
64,52,21
26,42,17
7,79,7
27,43,4
31,51,7
36,80,37
39,82,81
5,13,27
45,25,31
45,24,36
93,15,52
63,68,87
60,43,87
72,1,68
5,37,25
23,89,48
40,33,61
10,78,100
72,59,97
34,18,85
65,32,95
13,59,27
85,1,60
31,79,11
40,33,10
82,39,83
63,9,87
18,90,26
93,60,46
37,38,8
22,26,36
85,71,10
87,100,81
12,69,67
18,62,63
30,101,83
43,92,14
95,73,4
51,74,10
97,59,69
51,75,72
49,44,38
76,58,59
86,27,93
91,85,53
6,66,8
88,46,36
78,55,46
7,34,38
90,48,92
17,1,35
42,47,82
50,49,64
19,93,67
29,20,11
20,53,28
14,83,27
99,4,29
70,10,84
45,5,92
76,24,7
70,31,41
75,52,22
2,16,32
99,18,58
7,94,68
85,87,79
79,54,23
76,27,33
31,17,81
43,27,73
4,37,63
26,98,63
83,23,66
85,28,49
36,66,19
12,85,57
97,83,56
41,55,25
24,90,49
91,85,90
47,45,27
31,27,63
87,86,70
11,9,52
68,56,15
52,54,84
50,22,80
13,96,87
15,45,11
55,98,7
63,55,3
21,99,11
77,14,42
71,76,61
23,20,76
8,11,98
97,68,71
81,62,29
5,94,55
60,99,65
42,57,60
36,101,3
57,83,101
33,62,60
40,46,95
35,48,38
60,14,36
8,83,49
13,30,45
48,19,81
49,6,49
13,18,68
18,12,35
87,36,83
64,36,11
62,52,15
79,35,50
92,38,75
46,25,72
51,82,98
40,42,33
17,96,83
3,52,77
35,1,71
101,58,81
73,25,63
47,65,11
57,12,73
49,90,32
92,23,96
3,69,78
59,70,61
9,44,88
3,41,48
20,21,8
63,53,79
25,93,23
74,14,71
15,101,93
7,47,87
53,50,45
94,23,39
8,56,30
83,31,49
60,64,63
83,21,70
22,5,28
42,9,66
64,60,44
36,73,1
57,56,68
2,58,76
27,90,43
34,93,19
37,78,44
69,44,48
36,55,69
26,58,14
24,9,29
1,1,23
92,48,78
96,25,26
59,74,82
73,62,11
101,40,66
65,72,40
8,81,21
52,91,32
87,93,8
25,7,83
84,92,88
